Publication_Years	Record_Count	perc
2026	74	1.073
2025	638	9.252
2024	531	7.700
2023	438	6.352
2022	501	7.265
2021	522	7.570
2020	378	5.481
2019	338	4.901
2018	290	4.205
2017	250	3.625
2016	165	2.393
2015	203	2.944
2014	177	2.567
2013	157	2.277
2012	144	2.088
2011	156	2.262
2010	138	2.001
2009	143	2.074
2008	131	1.900
2007	111	1.610
2006	90	1.305
2005	91	1.320
2004	81	1.175
2003	98	1.421
2002	64	0.928
2001	82	1.189
2000	57	0.827
1999	57	0.827
1998	60	0.870
1997	57	0.827
1996	38	0.551
1995	53	0.769
1994	46	0.667
1993	49	0.711
1992	44	0.638
1991	48	0.696
1990	32	0.464
1989	25	0.363
1988	25	0.363
1987	31	0.450
1986	24	0.348
1985	25	0.363
1984	7	0.102
1983	14	0.203
1982	11	0.160
1981	19	0.276
1980	25	0.363
1979	21	0.305
1978	28	0.406
1977	20	0.290
1976	17	0.247
1975	1	0.015
1974	1	0.015
1973	1	0.015
1972	1	0.015
1971	1	0.015
1968	2	0.029
1967	6	0.087
1966	7	0.102
1965	7	0.102
1964	5	0.073
1963	5	0.073
1962	8	0.116
1961	5	0.073
1960	5	0.073
1959	4	0.058
1958	1	0.015
1957	3	0.044
1956	2	0.029
1955	4	0.058
1950	1	0.015
1947	2	0.029
