Publication_Years	Record_Count	perc
2026	148	0.926
2025	1283	8.024
2024	1061	6.635
2023	992	6.204
2022	985	6.160
2021	1025	6.410
2020	815	5.097
2019	747	4.672
2018	613	3.834
2017	665	4.159
2016	568	3.552
2015	522	3.265
2014	557	3.483
2013	533	3.333
2012	515	3.221
2011	453	2.833
2010	442	2.764
2009	400	2.502
2008	340	2.126
2007	295	1.845
2006	225	1.407
2005	188	1.176
2004	192	1.201
2003	163	1.019
2002	170	1.063
2001	149	0.932
2000	158	0.988
1999	148	0.926
1998	122	0.763
1997	150	0.938
1996	108	0.675
1995	129	0.807
1994	95	0.594
1993	117	0.732
1992	108	0.675
1991	90	0.563
1990	56	0.350
1989	54	0.338
1988	54	0.338
1987	57	0.356
1986	45	0.281
1985	35	0.219
1984	35	0.219
1983	31	0.194
1982	43	0.269
1981	42	0.263
1980	39	0.244
1979	23	0.144
1978	25	0.156
1977	21	0.131
1976	21	0.131
1975	2	0.013
1968	9	0.056
1967	9	0.056
1966	10	0.063
1965	11	0.069
1964	6	0.038
1963	4	0.025
1962	7	0.044
1961	9	0.056
1960	6	0.038
1959	6	0.038
1958	4	0.025
1957	5	0.031
1956	5	0.031
1955	3	0.019
1954	6	0.038
1953	7	0.044
1952	5	0.031
1951	4	0.025
1950	3	0.019
1949	4	0.025
1948	4	0.025
1947	3	0.019
1946	6	0.038
