"Treatment","Tar_spot_severity_perc","Yield_kgha","DeltaYield"
"j",5.3,13030,-227.421052631578
"n",3.6,13002,-255.421052631578
"k",2.9,13094,-163.421052631578
"g",2.8,13348,90.5789473684217
"l",2.7,13622,364.578947368422
"p",2.5,13614,356.578947368422
"o",2.1,13135,-122.421052631578
"f",2,13222,-35.4210526315783
"h",2,13318,60.5789473684217
"q",1.8,13690,432.578947368422
"a",1.7,12874,-383.421052631578
"e",1.6,13242,-15.4210526315783
"c",1.5,14054,796.578947368422
"m",1.4,13806,548.578947368422
"d",11,13194,-63.4210526315783
"r",23,12726,-531.421052631578
"i",10,11477,-1780.42105263158
"r",14,13621,363.578947368422
"b",2.5,13822,564.578947368422
