"Treatment","Tar_spot_severity_perc","Yield_kgha","DeltaYield","DeltaBenefit"
"j",10.6,13030,-583.700000000001,-109.7356
"n",7.2,13002,-611.700000000001,-114.9996
"k",5.8,13094,-519.700000000001,-97.7036000000001
"g",5.6,13348,-265.700000000001,-49.9516000000001
"l",5.4,13622,8.29999999999927,1.56039999999986
"p",5,13614,0.299999999999272,0.0563999999998632
"o",4.2,13135,-478.700000000001,-89.9956000000001
"f",4,13222,-391.700000000001,-73.6396000000001
"h",4,13318,-295.700000000001,-55.5916000000001
"q",3.6,13690,76.2999999999993,14.3443999999999
"a",3.4,12874,-739.700000000001,-139.0636
"e",3.2,13242,-371.700000000001,-69.8796000000001
"c",1.5,14054,440.299999999999,82.7763999999999
"m",1.4,13806,192.299999999999,36.1523999999999
"d",11,13194,-419.700000000001,-78.9036000000001
"r",23,12726,-887.700000000001,-166.8876
"i",10,11477,-2136.7,-401.6996
"r",14,13621,7.29999999999927,1.37239999999986
"b",2.5,13822,208.299999999999,39.1603999999999
