hen,age,bw
1,143,2004.14102
1,146,2067.207323
1,150,2162.490215
1,153,2280.510385
1,157,2402.645893
1,160,2411.094822
1,164,2531.039854
1,167,2611.398045
1,171,2737.46539
1,174,2815.621954
1,178,2893.154101
1,181,2871.548112
1,185,2793.071962
1,188,2776.179308
1,192,2852.184791
1,195,2928.265163
1,199,2982.625551
1,202,2960.411335
1,206,2909.19181
1,209,3037.746408
1,213,3067.972469
1,216,3042.021046
1,220,3085.300883
1,223,3122.314493
2,143,2162.855505
2,146,2232.283186
2,150,2326.311872
2,153,2360.150773
2,157,2543.202607
2,160,2587.384716
2,164,2687.299295
2,167,2725.370224
2,171,2872.347858
2,174,2967.367193
2,178,3004.777961
2,181,2947.357606
2,185,2980.309277
2,188,2927.888933
2,192,2920.731178
2,195,3043.144072
2,199,3096.908148
2,202,3139.964845
2,206,3125.026251
2,209,3193.418474
2,213,3178.962974
2,216,3197.360817
2,220,3209.03329
2,223,3271.979282
3,143,2164.54315
3,146,2207.952847
3,150,2344.869652
3,153,2433.258416
3,157,2551.100632
3,160,2614.833196
3,164,2684.159667
3,167,2772.955514
3,171,2909.775858
3,174,3004.065337
3,178,2956.172997
3,181,2985.532809
3,185,2955.735761
3,188,2962.836235
3,192,3000.514382
3,195,3062.898669
3,199,3131.58712
3,202,3164.302821
3,206,3141.141128
3,209,3195.298466
3,213,3206.089601
3,216,3252.251369
3,220,3220.609017
3,223,3260.20446
