Publication_Years	Record_Count	perc
2026	358	4.214
2025	2529	29.767
2024	1653	19.456
2023	1236	14.548
2022	949	11.170
2021	679	7.992
2020	416	4.896
2019	263	3.096
2018	125	1.471
2017	73	0.859
2016	42	0.494
2015	35	0.412
2014	26	0.306
2013	27	0.318
2012	16	0.188
2011	7	0.082
2010	10	0.118
2009	6	0.071
2008	8	0.094
2007	9	0.106
2006	1	0.012
2005	2	0.024
2004	1	0.012
2003	3	0.035
2002	1	0.012
2001	2	0.024
2000	2	0.024
1999	2	0.024
1998	2	0.024
1996	1	0.012
1995	4	0.047
1994	2	0.024
1993	1	0.012
1991	4	0.047
1990	1	0.012
